time,ground_truth
0,idle
33,idle
66,idle
100,idle
133,idle
166,idle
200,idle
233,idle
266,idle
300,idle
333,idle
366,idle
400,idle
433,idle
466,idle
500,idle
533,idle
566,idle
600,idle
633,idle
666,idle
700,idle
733,idle
766,idle
800,idle
833,idle
866,idle
900,idle
933,idle
966,idle
1000,idle
1033,idle
1066,idle
1100,idle
1133,idle
1166,idle
1200,idle
1233,idle
1266,idle
1300,idle
1333,idle
1366,idle
1400,idle
1433,idle
1466,idle
1500,idle
1533,idle
1566,idle
1600,idle
1633,idle
1666,idle
1700,idle
1733,idle
1766,idle
1800,idle
1833,idle
1866,idle
1900,idle
1933,idle
1966,idle
2000,idle
2033,rotate_anticlockwise
2066,rotate_anticlockwise
2100,rotate_anticlockwise
2133,rotate_anticlockwise
2166,rotate_anticlockwise
2200,rotate_anticlockwise
2233,rotate_anticlockwise
2266,rotate_anticlockwise
2300,rotate_anticlockwise
2333,rotate_anticlockwise
2366,rotate_anticlockwise
2400,rotate_anticlockwise
2433,rotate_anticlockwise
2466,rotate_anticlockwise
2500,rotate_anticlockwise
2533,rotate_anticlockwise
2566,rotate_anticlockwise
2600,rotate_anticlockwise
2633,rotate_anticlockwise
2666,rotate_anticlockwise
2700,rotate_anticlockwise
2733,rotate_anticlockwise
2766,rotate_anticlockwise
2800,rotate_anticlockwise
2833,rotate_anticlockwise
2866,rotate_anticlockwise
2900,rotate_anticlockwise
2933,rotate_anticlockwise
2966,rotate_anticlockwise
3000,rotate_anticlockwise
3033,rotate_anticlockwise
3066,rotate_anticlockwise
3100,rotate_anticlockwise
3133,rotate_anticlockwise
3166,rotate_anticlockwise
3200,rotate_anticlockwise
3233,rotate_anticlockwise
3266,rotate_anticlockwise
3300,rotate_anticlockwise
3333,rotate_anticlockwise
3366,rotate_anticlockwise
3400,rotate_anticlockwise
3433,rotate_anticlockwise
3466,rotate_anticlockwise
3500,rotate_anticlockwise
3533,rotate_anticlockwise
3566,rotate_anticlockwise
3600,rotate_anticlockwise
3633,rotate_anticlockwise
3666,idle
3700,idle
3733,idle
3766,idle
3800,idle
3833,idle
3866,idle
3900,idle
3933,idle
3966,idle
4000,idle
4033,idle
4066,idle
4100,idle
4133,idle
4166,idle
4200,idle
4233,idle
4266,idle
4300,idle
4333,idle
4366,idle
4400,idle
4433,idle
4466,idle
4500,idle
4533,idle
4566,idle
4600,idle
4633,idle
4666,idle
4700,idle
4733,idle
4766,idle
4800,idle
4833,idle
4866,idle
4900,idle
4933,idle
4966,idle
5000,idle
5033,idle
5066,idle
5100,idle
5133,idle
5166,idle
5200,idle
5233,idle
5266,idle
5300,idle
5333,idle
5366,idle
5400,idle
5433,idle
5466,idle
5500,idle
5533,idle
5566,idle
5600,idle
5633,idle
5666,idle
5700,idle
5733,idle
5766,idle
5800,idle
5833,idle
5866,idle
5900,idle
5933,idle
5966,idle
6000,idle
6033,idle
6066,idle
6100,idle
6133,idle
6166,rotate_anticlockwise
6200,rotate_anticlockwise
6233,rotate_anticlockwise
6266,rotate_anticlockwise
6300,rotate_anticlockwise
6333,rotate_anticlockwise
6366,rotate_anticlockwise
6400,rotate_anticlockwise
6433,rotate_anticlockwise
6466,rotate_anticlockwise
6500,rotate_anticlockwise
6533,rotate_anticlockwise
6566,rotate_anticlockwise
6600,rotate_anticlockwise
6633,rotate_anticlockwise
6666,rotate_anticlockwise
6700,rotate_anticlockwise
6733,rotate_anticlockwise
6766,rotate_anticlockwise
6800,rotate_anticlockwise
6833,rotate_anticlockwise
6866,rotate_anticlockwise
6900,rotate_anticlockwise
6933,rotate_anticlockwise
6966,rotate_anticlockwise
7000,rotate_anticlockwise
7033,rotate_anticlockwise
7066,rotate_anticlockwise
7100,rotate_anticlockwise
7133,rotate_anticlockwise
7166,rotate_anticlockwise
7200,rotate_anticlockwise
7233,rotate_anticlockwise
7266,rotate_anticlockwise
7300,rotate_anticlockwise
7333,rotate_anticlockwise
7366,rotate_anticlockwise
7400,rotate_anticlockwise
7433,rotate_anticlockwise
7466,rotate_anticlockwise
7500,rotate_anticlockwise
7533,rotate_anticlockwise
7566,rotate_anticlockwise
7600,rotate_anticlockwise
7633,rotate_anticlockwise
7666,rotate_anticlockwise
7700,rotate_anticlockwise
7733,rotate_anticlockwise
7766,rotate_anticlockwise
7800,rotate_anticlockwise
7833,rotate_anticlockwise
7866,rotate_anticlockwise
7900,rotate_anticlockwise
7933,rotate_anticlockwise
7966,rotate_anticlockwise
8000,rotate_anticlockwise
8033,rotate_anticlockwise
8066,rotate_anticlockwise
8100,rotate_anticlockwise
8133,rotate_anticlockwise
8166,rotate_anticlockwise
8200,rotate_anticlockwise
8233,rotate_anticlockwise
8266,idle
8300,idle
8333,idle
8366,idle
8400,idle
8433,idle
8466,idle
8500,idle
8533,idle
8566,idle
8600,idle
8633,idle
8666,idle
8700,idle
8733,idle
8766,idle
8800,idle
8833,idle
8866,idle
8900,idle
8933,idle
8966,idle
9000,idle
9033,idle
9066,idle
9100,idle
9133,idle
9166,idle
9200,idle
9233,idle
9266,idle
9300,idle
9333,idle
9366,idle
9400,idle
9433,idle
9466,idle
9500,idle
9533,idle
9566,idle
9600,idle
9633,idle
9666,idle
9700,idle
9733,idle
9766,idle
9800,idle
9833,idle
9866,idle
9900,idle
9933,idle
9966,idle
10000,idle
10033,idle
10066,idle
10100,idle
10133,idle
10166,idle
10200,idle
10233,idle
10266,idle
10300,idle
10333,idle
10366,idle
10400,idle
10433,idle
10466,idle
10500,idle
10533,idle
10566,idle
10600,idle
10633,idle
10666,idle
10700,idle
10733,idle
10766,idle
10800,idle
10833,idle
10866,idle
10900,idle
10933,idle
10966,idle
11000,idle
11033,idle
11066,idle
11100,idle
11133,idle
11166,idle
11200,idle
11233,idle
11266,idle
11300,idle
11333,idle
11366,idle
11400,idle
11433,idle
11466,idle
11500,idle
11533,idle
11566,idle
11600,idle
11633,idle
11666,idle
11700,idle
11733,idle
11766,idle
11800,idle
11833,idle
11866,idle
11900,idle
11933,idle
11966,idle
12000,idle
12033,idle
12066,idle
12100,idle
12133,idle
12166,idle
12200,idle
12233,idle
12266,idle
12300,idle
12333,rotate_anticlockwise
12366,rotate_anticlockwise
12400,rotate_anticlockwise
12433,rotate_anticlockwise
12466,rotate_anticlockwise
12500,rotate_anticlockwise
12533,rotate_anticlockwise
12566,rotate_anticlockwise
12600,rotate_anticlockwise
12633,rotate_anticlockwise
12666,rotate_anticlockwise
12700,rotate_anticlockwise
12733,rotate_anticlockwise
12766,rotate_anticlockwise
12800,rotate_anticlockwise
12833,rotate_anticlockwise
12866,rotate_anticlockwise
12900,rotate_anticlockwise
12933,rotate_anticlockwise
12966,rotate_anticlockwise
13000,rotate_anticlockwise
13033,rotate_anticlockwise
13066,rotate_anticlockwise
13100,rotate_anticlockwise
13133,rotate_anticlockwise
13166,rotate_anticlockwise
13200,rotate_anticlockwise
13233,rotate_anticlockwise
13266,rotate_anticlockwise
13300,rotate_anticlockwise
13333,rotate_anticlockwise
13366,rotate_anticlockwise
13400,rotate_anticlockwise
13433,rotate_anticlockwise
13466,rotate_anticlockwise
13500,rotate_anticlockwise
13533,rotate_anticlockwise
13566,rotate_anticlockwise
13600,rotate_anticlockwise
13633,rotate_anticlockwise
13666,rotate_anticlockwise
13700,idle
13733,idle
13766,idle
13800,idle
13833,idle
13866,idle
13900,idle
13933,idle
13966,idle
14000,idle
14033,idle
14066,idle
14100,idle
14133,idle
14166,idle
14200,idle
14233,idle
14266,idle
14300,idle
14333,idle
14366,idle
14400,idle
14433,idle
14466,idle
14500,idle
14533,idle
14566,idle
14600,idle
14633,idle
14666,idle
14700,idle
14733,idle
14766,idle
14800,idle
14833,idle
14866,idle
14900,idle
14933,idle
14966,idle
15000,idle
15033,idle
15066,idle
15100,idle
15133,idle
15166,idle
15200,idle
15233,idle
15266,idle
15300,idle
15333,idle
15366,idle
15400,idle
15433,idle
15466,idle
15500,idle
15533,idle
15566,idle
15600,idle
15633,idle
15666,idle
15700,idle
15733,idle
15766,idle
15800,idle
15833,idle
15866,idle
15900,idle
15933,idle
15966,idle
16000,idle
16033,idle
16066,idle
16100,idle
16133,idle
16166,idle
16200,idle
16233,idle
16266,idle
16300,idle
16333,idle
16366,idle
16400,idle
16433,idle
16466,idle
16500,idle
16533,idle
16566,idle
16600,idle
16633,idle
16666,idle
16700,idle
16733,idle
16766,idle
16800,idle
16833,idle
16866,idle
16900,idle
16933,idle
16966,idle
17000,idle
17033,idle
17066,idle
17100,idle
17133,rotate_anticlockwise
17166,rotate_anticlockwise
17200,rotate_anticlockwise
17233,rotate_anticlockwise
17266,rotate_anticlockwise
17300,rotate_anticlockwise
17333,rotate_anticlockwise
17366,rotate_anticlockwise
17400,rotate_anticlockwise
17433,rotate_anticlockwise
17466,rotate_anticlockwise
17500,rotate_anticlockwise
17533,rotate_anticlockwise
17566,rotate_anticlockwise
17600,rotate_anticlockwise
17633,rotate_anticlockwise
17666,rotate_anticlockwise
17700,rotate_anticlockwise
17733,rotate_anticlockwise
17766,rotate_anticlockwise
17800,rotate_anticlockwise
17833,rotate_anticlockwise
17866,rotate_anticlockwise
17900,rotate_anticlockwise
17933,rotate_anticlockwise
17966,rotate_anticlockwise
18000,rotate_anticlockwise
18033,rotate_anticlockwise
18066,rotate_anticlockwise
18100,rotate_anticlockwise
18133,rotate_anticlockwise
18166,rotate_anticlockwise
18200,rotate_anticlockwise
18233,rotate_anticlockwise
18266,rotate_anticlockwise
18300,rotate_anticlockwise
18333,rotate_anticlockwise
18366,rotate_anticlockwise
18400,rotate_anticlockwise
18433,rotate_anticlockwise
18466,rotate_anticlockwise
18500,rotate_anticlockwise
18533,rotate_anticlockwise
18566,rotate_anticlockwise
18600,rotate_anticlockwise
18633,rotate_anticlockwise
18666,rotate_anticlockwise
18700,rotate_anticlockwise
18733,rotate_anticlockwise
18766,idle
18800,idle
18833,idle
18866,idle
18900,idle
18933,idle
18966,idle
19000,idle
19033,idle
19066,idle
19100,idle
19133,idle
19166,idle
19200,idle
19233,idle
19266,idle
19300,idle
19333,idle
19366,idle
19400,idle
19433,idle
19466,idle
19500,idle
19533,idle
19566,idle
19600,idle
19633,idle
19666,idle
19700,idle
19733,idle
19766,idle
19800,idle
19833,idle
19866,idle
19900,idle
19933,idle
19966,idle
20000,idle
20033,idle
20066,idle
20100,idle
20133,idle
20166,idle
20200,idle
20233,idle
20266,idle
20300,idle
20333,idle
20366,idle
20400,idle
20433,idle
20466,idle
20500,idle
20533,idle
20566,idle
20600,idle
20633,idle
20666,idle
20700,idle
20733,idle
20766,idle
20800,idle
20833,idle
20866,idle
20900,idle
20933,idle
20966,idle
21000,idle
21033,idle
21066,idle
21100,idle
21133,idle
21166,idle
21200,idle
21233,idle
21266,idle
21300,idle
21333,idle
21366,idle
21400,idle
21433,idle
21466,idle
21500,idle
21533,idle
21566,idle
21600,idle
21633,idle
21666,idle
21700,idle
21733,idle
21766,rotate_anticlockwise
21800,rotate_anticlockwise
21833,rotate_anticlockwise
21866,rotate_anticlockwise
21900,rotate_anticlockwise
21933,rotate_anticlockwise
21966,rotate_anticlockwise
22000,rotate_anticlockwise
22033,rotate_anticlockwise
22066,rotate_anticlockwise
22100,rotate_anticlockwise
22133,rotate_anticlockwise
22166,rotate_anticlockwise
22200,rotate_anticlockwise
22233,rotate_anticlockwise
22266,rotate_anticlockwise
22300,rotate_anticlockwise
22333,rotate_anticlockwise
22366,rotate_anticlockwise
22400,rotate_anticlockwise
22433,rotate_anticlockwise
22466,rotate_anticlockwise
22500,rotate_anticlockwise
22533,rotate_anticlockwise
22566,rotate_anticlockwise
22600,rotate_anticlockwise
22633,rotate_anticlockwise
22666,rotate_anticlockwise
22700,rotate_anticlockwise
22733,rotate_anticlockwise
22766,rotate_anticlockwise
22800,rotate_anticlockwise
22833,rotate_anticlockwise
22866,rotate_anticlockwise
22900,rotate_anticlockwise
22933,rotate_anticlockwise
22966,rotate_anticlockwise
23000,rotate_anticlockwise
23033,rotate_anticlockwise
23066,rotate_anticlockwise
23100,rotate_anticlockwise
23133,rotate_anticlockwise
23166,rotate_anticlockwise
23200,rotate_anticlockwise
23233,rotate_anticlockwise
23266,rotate_anticlockwise
23300,rotate_anticlockwise
23333,rotate_anticlockwise
23366,rotate_anticlockwise
23400,rotate_anticlockwise
23433,rotate_anticlockwise
23466,rotate_anticlockwise
23500,rotate_anticlockwise
23533,rotate_anticlockwise
23566,idle
23600,idle
23633,idle
23666,idle
23700,idle
23733,idle
23766,idle
23800,idle
23833,idle
23866,idle
23900,idle
23933,idle
23966,idle
24000,idle
24033,idle
24066,idle
24100,idle
24133,idle
24166,idle
24200,idle
24233,idle
24266,idle
24300,idle
24333,idle
24366,idle
24400,idle
24433,idle
24466,idle
24500,idle
24533,idle
24566,idle
24600,idle
24633,idle
24666,idle
24700,idle
24733,idle
24766,idle
24800,idle
24833,idle
24866,idle
24900,idle
24933,idle
24966,idle
25000,idle
25033,idle
25066,idle
25100,idle
25133,idle
25166,idle
25200,idle
25233,idle
25266,idle
25300,idle
25333,idle
25366,idle
25400,idle
25433,idle
