time,ground_truth
0,idle
33,idle
66,idle
100,idle
133,idle
166,idle
200,idle
233,idle
266,idle
300,idle
333,idle
366,idle
400,idle
433,idle
466,idle
500,idle
533,idle
566,idle
600,idle
633,idle
666,idle
700,idle
733,idle
766,idle
800,idle
833,idle
866,idle
900,idle
933,idle
966,idle
1000,idle
1033,idle
1066,idle
1100,idle
1133,idle
1166,idle
1200,idle
1233,idle
1266,idle
1300,idle
1333,idle
1366,idle
1400,idle
1433,idle
1466,idle
1500,idle
1533,idle
1566,idle
1600,idle
1633,idle
1666,idle
1700,idle
1733,idle
1766,idle
1800,idle
1833,idle
1866,idle
1900,idle
1933,idle
1966,idle
2000,idle
2033,idle
2066,idle
2100,idle
2133,idle
2166,idle
2200,idle
2233,idle
2266,idle
2300,idle
2333,swipe_up
2366,swipe_up
2400,swipe_up
2433,swipe_up
2466,swipe_up
2500,swipe_up
2533,swipe_up
2566,swipe_up
2600,swipe_up
2633,swipe_up
2666,swipe_up
2700,swipe_up
2733,swipe_up
2766,swipe_up
2800,swipe_up
2833,swipe_up
2866,swipe_up
2900,swipe_up
2933,swipe_up
2966,swipe_up
3000,swipe_up
3033,swipe_up
3066,swipe_up
3100,swipe_up
3133,swipe_up
3166,swipe_up
3200,swipe_up
3233,swipe_up
3266,swipe_up
3300,swipe_up
3333,idle
3366,idle
3400,idle
3433,idle
3466,idle
3500,idle
3533,idle
3566,idle
3600,idle
3633,idle
3666,idle
3700,idle
3733,idle
3766,idle
3800,idle
3833,swipe_down
3866,swipe_down
3900,swipe_down
3933,swipe_down
3966,swipe_down
4000,swipe_down
4033,swipe_down
4066,swipe_down
4100,swipe_down
4133,swipe_down
4166,swipe_down
4200,swipe_down
4233,swipe_down
4266,swipe_down
4300,swipe_down
4333,swipe_down
4366,swipe_down
4400,swipe_down
4433,swipe_down
4466,swipe_down
4500,swipe_down
4533,swipe_down
4566,swipe_down
4600,swipe_down
4633,swipe_down
4666,swipe_down
4700,swipe_down
4733,swipe_down
4766,swipe_down
4800,swipe_down
4833,idle
4866,idle
4900,idle
4933,idle
4966,idle
5000,idle
5033,idle
5066,idle
5100,idle
5133,idle
5166,idle
5200,idle
5233,idle
5266,idle
5300,idle
5333,idle
5366,idle
5400,idle
5433,idle
5466,idle
5500,idle
5533,idle
5566,idle
5600,idle
5633,idle
5666,idle
5700,idle
5733,idle
5766,idle
5800,idle
5833,idle
5866,idle
5900,idle
5933,idle
5966,idle
6000,idle
6033,idle
6066,idle
6100,idle
6133,idle
6166,idle
6200,idle
6233,idle
6266,idle
6300,idle
6333,idle
6366,idle
6400,idle
6433,idle
6466,idle
6500,idle
6533,idle
6566,idle
6600,idle
6633,idle
6666,idle
6700,idle
6733,idle
6766,idle
6800,idle
6833,idle
6866,idle
6900,idle
6933,idle
6966,idle
7000,idle
7033,idle
7066,idle
7100,idle
7133,idle
7166,idle
7200,idle
7233,idle
7266,idle
7300,idle
7333,idle
7366,idle
7400,idle
7433,idle
7466,idle
7500,swipe_up
7533,swipe_up
7566,swipe_up
7600,swipe_up
7633,swipe_up
7666,swipe_up
7700,swipe_up
7733,swipe_up
7766,swipe_up
7800,swipe_up
7833,swipe_up
7866,swipe_up
7900,swipe_up
7933,swipe_up
7966,swipe_up
8000,swipe_up
8033,swipe_up
8066,swipe_up
8100,swipe_up
8133,swipe_up
8166,swipe_up
8200,swipe_up
8233,swipe_up
8266,swipe_up
8300,swipe_up
8333,swipe_up
8366,swipe_up
8400,swipe_up
8433,swipe_up
8466,swipe_up
8500,idle
8533,idle
8566,idle
8600,idle
8633,idle
8666,idle
8700,idle
8733,idle
8766,idle
8800,idle
8833,idle
8866,idle
8900,idle
8933,idle
8966,idle
9000,idle
9033,idle
9066,idle
9100,idle
9133,idle
9166,idle
9200,idle
9233,idle
9266,idle
9300,idle
9333,idle
9366,idle
9400,idle
9433,idle
9466,idle
9500,idle
9533,idle
9566,idle
9600,idle
9633,idle
9666,idle
9700,idle
9733,idle
9766,idle
9800,idle
9833,idle
9866,idle
9900,idle
9933,idle
9966,idle
10000,idle
10033,idle
10066,idle
10100,idle
10133,idle
10166,idle
10200,idle
10233,idle
10266,idle
10300,idle
10333,idle
10366,idle
10400,idle
10433,idle
10466,idle
10500,idle
10533,idle
10566,idle
10600,idle
10633,idle
10666,idle
10700,idle
10733,idle
10766,idle
10800,idle
10833,idle
10866,idle
10900,idle
10933,idle
10966,idle
11000,idle
11033,idle
11066,idle
11100,idle
11133,idle
11166,idle
11200,idle
11233,idle
11266,idle
11300,idle
11333,idle
11366,idle
11400,idle
11433,idle
11466,idle
11500,idle
11533,idle
11566,idle
11600,idle
11633,idle
11666,idle
11700,idle
11733,idle
11766,idle
11800,idle
11833,idle
11866,idle
11900,idle
11933,idle
11966,idle
12000,idle
12033,idle
12066,idle
12100,idle
12133,idle
12166,idle
12200,idle
12233,idle
12266,idle
12300,swipe_down
12333,swipe_down
12366,swipe_down
12400,swipe_down
12433,swipe_down
12466,swipe_down
12500,swipe_down
12533,swipe_down
12566,swipe_down
12600,swipe_down
12633,swipe_down
12666,swipe_down
12700,swipe_down
12733,swipe_down
12766,swipe_down
12800,swipe_down
12833,swipe_down
12866,swipe_down
12900,swipe_down
12933,swipe_down
12966,swipe_down
13000,swipe_down
13033,swipe_down
13066,swipe_down
13100,swipe_down
13133,swipe_down
13166,swipe_down
13200,swipe_down
13233,swipe_down
13266,swipe_down
13300,idle
13333,idle
13366,idle
13400,idle
13433,idle
13466,idle
13500,idle
13533,idle
13566,idle
13600,idle
13633,idle
13666,idle
13700,idle
13733,idle
13766,idle
13800,idle
13833,idle
13866,idle
13900,idle
13933,idle
13966,idle
14000,idle
14033,idle
14066,idle
14100,idle
14133,idle
14166,idle
14200,idle
14233,idle
14266,idle
14300,idle
14333,idle
14366,idle
14400,idle
14433,idle
14466,idle
14500,idle
14533,idle
14566,idle
14600,idle
14633,idle
14666,idle
14700,idle
14733,idle
14766,idle
14800,idle
14833,idle
14866,idle
14900,idle
14933,idle
14966,idle
15000,idle
15033,idle
15066,idle
15100,idle
15133,idle
15166,idle
15200,idle
15233,idle
15266,idle
15300,idle
15333,idle
15366,idle
15400,idle
15433,idle
15466,idle
15500,idle
15533,idle
15566,idle
15600,idle
15633,idle
15666,idle
15700,idle
15733,idle
15766,idle
15800,idle
15833,idle
15866,idle
15900,idle
15933,idle
15966,swipe_up
16000,swipe_up
16033,swipe_up
16066,swipe_up
16100,swipe_up
16133,swipe_up
16166,swipe_up
16200,swipe_up
16233,swipe_up
16266,swipe_up
16300,swipe_up
16333,swipe_up
16366,swipe_up
16400,swipe_up
16433,swipe_up
16466,swipe_up
16500,swipe_up
16533,swipe_up
16566,swipe_up
16600,swipe_up
16633,swipe_up
16666,swipe_up
16700,swipe_up
16733,swipe_up
16766,swipe_up
16800,swipe_up
16833,swipe_up
16866,swipe_up
16900,swipe_up
16933,swipe_up
16966,idle
17000,idle
17033,idle
17066,idle
17100,idle
17133,idle
17166,idle
17200,idle
17233,idle
17266,idle
17300,idle
17333,idle
17366,idle
17400,idle
17433,idle
17466,idle
17500,idle
17533,idle
17566,idle
17600,idle
17633,idle
17666,idle
17700,idle
17733,idle
17766,idle
17800,idle
17833,idle
17866,idle
17900,idle
17933,idle
17966,idle
18000,idle
18033,idle
18066,idle
18100,idle
18133,idle
18166,idle
18200,idle
18233,idle
18266,idle
18300,idle
18333,idle
18366,idle
18400,idle
18433,idle
18466,idle
18500,idle
18533,idle
18566,idle
18600,idle
18633,idle
18666,idle
18700,idle
18733,idle
18766,idle
18800,idle
18833,idle
18866,idle
18900,idle
18933,idle
18966,idle
19000,idle
19033,idle
19066,idle
19100,idle
19133,idle
19166,idle
19200,idle
19233,idle
19266,idle
19300,idle
19333,idle
19366,idle
19400,idle
19433,idle
19466,idle
19500,idle
19533,idle
19566,idle
19600,idle
19633,idle
19666,idle
19700,idle
19733,idle
19766,idle
19800,idle
19833,idle
19866,idle
19900,idle
19933,idle
19966,idle
20000,idle
20033,idle
20066,idle
20100,idle
20133,idle
20166,idle
20200,idle
20233,idle
20266,idle
20300,idle
20333,idle
20366,idle
20400,idle
20433,idle
20466,idle
20500,idle
20533,idle
20566,idle
20600,idle
20633,idle
20666,idle
20700,idle
20733,idle
20766,idle
20800,idle
20833,idle
20866,idle
20900,idle
20933,idle
20966,idle
21000,idle
21033,idle
21066,idle
21100,idle
21133,idle
21166,swipe_down
21200,swipe_down
21233,swipe_down
21266,swipe_down
21300,swipe_down
21333,swipe_down
21366,swipe_down
21400,swipe_down
21433,swipe_down
21466,swipe_down
21500,swipe_down
21533,swipe_down
21566,swipe_down
21600,swipe_down
21633,swipe_down
21666,swipe_down
21700,swipe_down
21733,swipe_down
21766,swipe_down
21800,swipe_down
21833,swipe_down
21866,swipe_down
21900,swipe_down
21933,swipe_down
21966,swipe_down
22000,swipe_down
22033,swipe_down
22066,swipe_down
22100,swipe_down
22133,swipe_down
22166,swipe_down
22200,swipe_down
22233,swipe_down
22266,swipe_down
22300,swipe_down
22333,swipe_down
22366,swipe_down
22400,swipe_down
22433,idle
22466,idle
22500,idle
22533,idle
22566,idle
22600,idle
22633,idle
22666,idle
22700,idle
22733,idle
22766,idle
22800,idle
22833,idle
22866,idle
22900,idle
22933,idle
22966,idle
23000,idle
23033,idle
23066,idle
23100,idle
23133,idle
23166,idle
23200,idle
23233,idle
23266,idle
23300,idle
23333,idle
23366,idle
23400,idle
23433,idle
23466,idle
23500,idle
23533,idle
23566,idle
23600,idle
23633,idle
23666,idle
23700,idle
23733,idle
23766,idle
23800,idle
23833,idle
23866,idle
23900,idle
23933,idle
23966,idle
24000,idle
24033,idle
24066,idle
24100,idle
24133,idle
24166,idle
24200,idle
24233,idle
24266,idle
24300,idle
24333,idle
24366,idle
24400,idle
24433,idle
24466,idle
24500,idle
24533,idle
24566,idle
24600,idle
24633,idle
24666,idle
24700,idle
24733,idle
24766,idle
24800,idle
24833,idle
24866,idle
24900,idle
24933,idle
24966,idle
25000,idle
25033,idle
25066,idle
25100,swipe_up
25133,swipe_up
25166,swipe_up
25200,swipe_up
25233,swipe_up
25266,swipe_up
25300,swipe_up
25333,swipe_up
25366,swipe_up
25400,swipe_up
25433,swipe_up
25466,swipe_up
25500,swipe_up
25533,swipe_up
25566,swipe_up
25600,swipe_up
25633,swipe_up
25666,swipe_up
25700,swipe_up
25733,swipe_up
25766,swipe_up
25800,swipe_up
25833,swipe_up
25866,swipe_up
25900,swipe_up
25933,swipe_up
25966,swipe_up
26000,swipe_up
26033,swipe_up
26066,idle
26100,idle
26133,idle
26166,idle
26200,idle
26233,idle
26266,idle
26300,idle
26333,idle
26366,idle
26400,idle
26433,idle
26466,swipe_down
26500,swipe_down
26533,swipe_down
26566,swipe_down
26600,swipe_down
26633,swipe_down
26666,swipe_down
26700,swipe_down
26733,swipe_down
26766,swipe_down
26800,swipe_down
26833,swipe_down
26866,swipe_down
26900,swipe_down
26933,swipe_down
26966,swipe_down
27000,swipe_down
27033,swipe_down
27066,swipe_down
27100,swipe_down
27133,swipe_down
27166,swipe_down
27200,swipe_down
27233,swipe_down
27266,swipe_down
27300,swipe_down
27333,swipe_down
27366,swipe_down
27400,swipe_down
27433,swipe_down
27466,swipe_down
27500,idle
27533,idle
27566,idle
27600,idle
27633,idle
27666,idle
27700,idle
27733,idle
27766,idle
27800,idle
27833,idle
27866,idle
27900,idle
27933,idle
27966,idle
28000,idle
28033,idle
28066,idle
28100,idle
28133,idle
28166,idle
28200,idle
28233,idle
28266,idle
28300,idle
28333,idle
28366,idle
28400,idle
28433,idle
28466,idle
28500,idle
28533,idle
28566,idle
28600,idle
28633,idle
28666,idle
28700,idle
28733,idle
28766,idle
28800,idle
28833,idle
28866,idle
28900,idle
28933,idle
28966,idle
29000,idle
29033,idle
29066,idle
29100,idle
29133,idle
29166,idle
29200,idle
29233,idle
29266,idle
29300,idle
29333,idle
29366,idle
29400,idle
29433,idle
29466,idle
29500,idle
29533,idle
29566,idle
29600,idle
29633,idle
29666,idle
29700,idle
29733,idle
29766,idle
29800,idle
29833,idle
29866,idle
29900,idle
29933,idle
29966,idle
30000,idle
30033,idle
30066,idle
30100,idle
30133,idle
30166,idle
30200,idle
30233,idle
30266,idle
30300,idle
30333,idle
30366,idle
30400,idle
30433,idle
30466,idle
30500,idle
30533,idle
30566,idle
30600,idle
30633,idle
30666,idle
30700,idle
30733,idle
30766,idle
30800,idle
30833,idle
30866,idle
30900,idle
30933,idle
30966,idle
31000,idle
31033,idle
31066,idle
31100,idle
31133,idle
31166,idle
31200,idle
31233,idle
31266,idle
31300,idle
31333,idle
31366,idle
31400,idle
31433,idle
31466,idle
31500,swipe_up
31533,swipe_up
31566,swipe_up
31600,swipe_up
31633,swipe_up
31666,swipe_up
31700,swipe_up
31733,swipe_up
31766,swipe_up
31800,swipe_up
31833,swipe_up
31866,swipe_up
31900,swipe_up
31933,swipe_up
31966,swipe_up
32000,swipe_up
32033,swipe_up
32066,swipe_up
32100,swipe_up
32133,swipe_up
32166,swipe_up
32200,swipe_up
32233,swipe_up
32266,swipe_up
32300,swipe_up
32333,swipe_up
32366,swipe_up
32400,swipe_up
32433,idle
32466,idle
32500,idle
32533,idle
32566,idle
