time,ground_truth
0,idle
16,idle
33,idle
50,idle
66,idle
83,idle
100,idle
116,idle
133,idle
150,idle
166,idle
183,idle
200,idle
216,idle
233,idle
250,idle
266,idle
283,idle
300,idle
316,idle
333,idle
350,idle
366,idle
383,idle
400,idle
416,idle
433,idle
450,idle
466,idle
483,idle
500,idle
516,idle
533,idle
550,idle
566,idle
583,idle
600,idle
616,idle
633,idle
650,idle
666,idle
683,idle
700,idle
716,idle
733,idle
750,idle
766,idle
783,idle
800,idle
816,idle
833,idle
850,idle
866,idle
883,idle
900,idle
916,idle
933,idle
950,idle
966,idle
983,idle
1000,idle
1016,idle
1033,idle
1050,idle
1066,idle
1083,idle
1100,swipe_up
1116,swipe_up
1133,swipe_up
1150,swipe_up
1166,swipe_up
1183,swipe_up
1200,swipe_up
1216,swipe_up
1233,swipe_up
1250,swipe_up
1266,swipe_up
1283,swipe_up
1300,swipe_up
1316,swipe_up
1333,swipe_up
1350,swipe_up
1366,swipe_up
1383,swipe_up
1400,swipe_up
1416,swipe_up
1433,swipe_up
1450,swipe_up
1466,swipe_up
1483,swipe_up
1500,swipe_up
1516,swipe_up
1533,swipe_up
1550,swipe_up
1566,swipe_up
1583,swipe_up
1600,swipe_up
1616,swipe_up
1633,swipe_up
1650,swipe_up
1666,swipe_up
1683,swipe_up
1700,swipe_up
1716,swipe_up
1733,swipe_up
1750,swipe_up
1766,swipe_up
1783,swipe_up
1800,swipe_up
1816,swipe_up
1833,swipe_up
1850,swipe_up
1866,swipe_up
1883,swipe_up
1900,swipe_up
1916,swipe_up
1933,swipe_up
1950,swipe_up
1966,swipe_up
1983,swipe_up
2000,swipe_up
2016,swipe_up
2033,swipe_up
2050,swipe_up
2066,swipe_up
2083,swipe_up
2100,swipe_up
2116,swipe_up
2133,swipe_up
2150,idle
2166,idle
2183,idle
2200,idle
2216,idle
2233,idle
2250,idle
2266,idle
2283,idle
2300,idle
2316,idle
2333,idle
2350,idle
2366,idle
2383,idle
2400,idle
2416,idle
2433,idle
2450,idle
2466,idle
2483,idle
2500,idle
2516,idle
2533,idle
2550,idle
2566,idle
2583,idle
2600,idle
2616,idle
2633,idle
2650,idle
2666,idle
2683,idle
2700,idle
2716,idle
2733,idle
2750,idle
2766,idle
2783,idle
2800,idle
2816,idle
2833,idle
2850,idle
2866,idle
2883,idle
2900,idle
2916,idle
2933,idle
2950,idle
2966,idle
2983,idle
3000,idle
3016,idle
3033,idle
3050,idle
3066,idle
3083,idle
3100,idle
3116,idle
3133,idle
3150,idle
3166,idle
3183,idle
3200,idle
3216,idle
3233,idle
3250,idle
3266,idle
3283,idle
3300,idle
3316,idle
3333,idle
3350,idle
3366,idle
3383,idle
3400,idle
3416,idle
3433,idle
3450,idle
3466,idle
3483,idle
3500,idle
3516,idle
3533,idle
3550,idle
3566,idle
3583,idle
3600,idle
3616,idle
3633,idle
3650,idle
3666,idle
3683,idle
3700,idle
3716,idle
3733,idle
3750,idle
3766,idle
3783,idle
3800,idle
3816,idle
3833,idle
3850,idle
3866,idle
3883,idle
3900,idle
3916,idle
3933,idle
3950,idle
3966,idle
3983,idle
4000,idle
4016,idle
4033,idle
4050,idle
4066,idle
4083,idle
4100,idle
4116,idle
4133,idle
4150,idle
4166,idle
4183,idle
4200,idle
4216,idle
4233,idle
4250,idle
4266,idle
4283,idle
4300,idle
4316,idle
4333,idle
4350,idle
4366,idle
4383,idle
4400,idle
4416,idle
4433,idle
4450,idle
4466,idle
4483,idle
4500,idle
4516,idle
4533,idle
4550,idle
4566,idle
4583,idle
4600,idle
4616,idle
4633,idle
4650,idle
4666,idle
4683,idle
4700,idle
4716,idle
4733,swipe_up
4750,swipe_up
4766,swipe_up
4783,swipe_up
4800,swipe_up
4816,swipe_up
4833,swipe_up
4850,swipe_up
4866,swipe_up
4883,swipe_up
4900,swipe_up
4916,swipe_up
4933,swipe_up
4950,swipe_up
4966,swipe_up
4983,swipe_up
5000,swipe_up
5016,swipe_up
5033,swipe_up
5050,swipe_up
5066,swipe_up
5083,swipe_up
5100,swipe_up
5116,swipe_up
5133,swipe_up
5150,swipe_up
5166,swipe_up
5183,swipe_up
5200,swipe_up
5216,swipe_up
5233,swipe_up
5250,swipe_up
5266,swipe_up
5283,swipe_up
5300,swipe_up
5316,swipe_up
5333,swipe_up
5350,swipe_up
5366,swipe_up
5383,swipe_up
5400,swipe_up
5416,swipe_up
5433,swipe_up
5450,swipe_up
5466,swipe_up
5483,swipe_up
5500,swipe_up
5516,swipe_up
5533,swipe_up
5550,swipe_up
5566,swipe_up
5583,swipe_up
5600,swipe_up
5616,swipe_up
5633,swipe_up
5650,swipe_up
5666,swipe_up
5683,swipe_up
5700,swipe_up
5716,swipe_up
5733,swipe_up
5750,swipe_up
5766,swipe_up
5783,swipe_up
5800,idle
5816,idle
5833,idle
5850,idle
5866,idle
5883,idle
5900,idle
5916,idle
5933,idle
5950,idle
5966,idle
5983,idle
6000,idle
6016,idle
6033,idle
6050,idle
6066,idle
6083,idle
6100,idle
6116,idle
6133,idle
6150,idle
6166,idle
6183,idle
6200,idle
6216,idle
6233,idle
6250,idle
6266,idle
6283,idle
6300,idle
6316,idle
6333,idle
6350,idle
6366,idle
6383,idle
6400,idle
6416,idle
6433,idle
6450,idle
6466,idle
6483,idle
6500,idle
6516,idle
6533,idle
6550,idle
6566,idle
6583,idle
6600,idle
6616,idle
6633,idle
6650,idle
6666,idle
6683,idle
6700,idle
6716,idle
6733,idle
6750,idle
6766,idle
6783,idle
6800,idle
6816,idle
6833,idle
6850,idle
6866,idle
6883,idle
6900,idle
6916,idle
6933,idle
6950,idle
6966,idle
6983,idle
7000,idle
7016,idle
7033,idle
7050,idle
7066,idle
7083,idle
7100,idle
7116,idle
7133,idle
7150,idle
7166,idle
7183,idle
7200,idle
7216,idle
7233,idle
