time,ground_truth
0,idle
16,idle
33,idle
50,idle
66,idle
83,idle
100,idle
116,idle
133,idle
150,idle
166,idle
183,idle
200,idle
216,idle
233,idle
250,idle
266,idle
283,idle
300,idle
316,idle
333,idle
350,idle
366,idle
383,idle
400,idle
416,idle
433,idle
450,idle
466,idle
483,idle
500,idle
516,idle
533,idle
550,idle
566,idle
583,idle
600,idle
616,idle
633,idle
650,idle
666,idle
683,idle
700,idle
716,idle
733,idle
750,idle
766,idle
783,idle
800,idle
816,idle
833,idle
850,idle
866,idle
883,idle
900,idle
916,idle
933,idle
950,idle
966,idle
983,idle
1000,idle
1016,idle
1033,idle
1050,idle
1066,idle
1083,idle
1100,rotate_clockwise
1116,rotate_clockwise
1133,rotate_clockwise
1150,rotate_clockwise
1166,rotate_clockwise
1183,rotate_clockwise
1200,rotate_clockwise
1216,rotate_clockwise
1233,rotate_clockwise
1250,rotate_clockwise
1266,rotate_clockwise
1283,rotate_clockwise
1300,rotate_clockwise
1316,rotate_clockwise
1333,rotate_clockwise
1350,rotate_clockwise
1366,rotate_clockwise
1383,rotate_clockwise
1400,rotate_clockwise
1416,rotate_clockwise
1433,rotate_clockwise
1450,rotate_clockwise
1466,rotate_clockwise
1483,rotate_clockwise
1500,rotate_clockwise
1516,rotate_clockwise
1533,rotate_clockwise
1550,rotate_clockwise
1566,rotate_clockwise
1583,rotate_clockwise
1600,rotate_clockwise
1616,rotate_clockwise
1633,rotate_clockwise
1650,rotate_clockwise
1666,rotate_clockwise
1683,rotate_clockwise
1700,rotate_clockwise
1716,rotate_clockwise
1733,rotate_clockwise
1750,rotate_clockwise
1766,rotate_clockwise
1783,rotate_clockwise
1800,rotate_clockwise
1816,rotate_clockwise
1833,rotate_clockwise
1850,rotate_clockwise
1866,rotate_clockwise
1883,rotate_clockwise
1900,rotate_clockwise
1916,rotate_clockwise
1933,rotate_clockwise
1950,rotate_clockwise
1966,rotate_clockwise
1983,rotate_clockwise
2000,rotate_clockwise
2016,rotate_clockwise
2033,rotate_clockwise
2050,rotate_clockwise
2066,rotate_clockwise
2083,rotate_clockwise
2100,rotate_clockwise
2116,rotate_clockwise
2133,rotate_clockwise
2150,rotate_clockwise
2166,rotate_clockwise
2183,rotate_clockwise
2200,rotate_clockwise
2216,rotate_clockwise
2233,rotate_clockwise
2250,rotate_clockwise
2266,rotate_clockwise
2283,rotate_clockwise
2300,rotate_clockwise
2316,rotate_clockwise
2333,rotate_clockwise
2350,rotate_clockwise
2366,rotate_clockwise
2383,idle
2400,idle
2416,idle
2433,idle
2450,idle
2466,idle
2483,idle
2500,idle
2516,idle
2533,idle
2550,idle
2566,idle
2583,idle
2600,idle
2616,idle
2633,idle
2650,idle
2666,idle
2683,idle
2700,idle
2716,idle
2733,idle
2750,idle
2766,idle
2783,idle
2800,idle
2816,idle
2833,idle
2850,idle
2866,idle
2883,idle
2900,idle
2916,idle
2933,idle
2950,idle
2966,idle
2983,idle
3000,idle
3016,idle
3033,idle
3050,idle
3066,idle
3083,idle
3100,idle
3116,idle
3133,idle
3150,idle
3166,idle
3183,idle
3200,idle
3216,idle
3233,idle
3250,idle
3266,idle
3283,idle
3300,idle
3316,idle
3333,idle
3350,idle
3366,idle
3383,idle
3400,idle
3416,idle
3433,idle
3450,idle
3466,idle
3483,idle
3500,idle
3516,idle
3533,idle
3550,idle
3566,idle
3583,idle
3600,idle
3616,idle
3633,idle
3650,idle
3666,idle
3683,idle
3700,idle
3716,idle
3733,idle
3750,idle
3766,idle
3783,idle
3800,idle
3816,idle
3833,idle
3850,idle
3866,idle
3883,idle
3900,idle
3916,idle
3933,idle
3950,idle
3966,idle
3983,idle
4000,idle
4016,idle
4033,idle
4050,idle
4066,idle
4083,idle
4100,idle
4116,idle
4133,idle
4150,idle
4166,idle
4183,idle
4200,idle
4216,idle
4233,idle
4250,idle
4266,idle
4283,idle
4300,idle
4316,idle
4333,idle
4350,idle
4366,idle
4383,idle
4400,idle
4416,idle
4433,idle
4450,idle
4466,idle
4483,idle
4500,idle
4516,idle
4533,idle
4550,idle
4566,idle
4583,idle
4600,idle
4616,idle
4633,idle
4650,idle
4666,idle
4683,idle
4700,idle
4716,idle
4733,idle
4750,idle
4766,idle
4783,idle
4800,idle
4816,idle
4833,idle
4850,idle
4866,idle
4883,idle
4900,idle
4916,idle
4933,idle
4950,idle
4966,idle
4983,idle
5000,idle
5016,idle
5033,idle
5050,idle
5066,idle
5083,idle
5100,idle
5116,idle
5133,idle
5150,idle
5166,idle
5183,idle
5200,idle
5216,idle
5233,idle
5250,idle
5266,idle
5283,idle
5300,idle
5316,rotate_clockwise
5333,rotate_clockwise
5350,rotate_clockwise
5366,rotate_clockwise
5383,rotate_clockwise
5400,rotate_clockwise
5416,rotate_clockwise
5433,rotate_clockwise
5450,rotate_clockwise
5466,rotate_clockwise
5483,rotate_clockwise
5500,rotate_clockwise
5516,rotate_clockwise
5533,rotate_clockwise
5550,rotate_clockwise
5566,rotate_clockwise
5583,rotate_clockwise
5600,rotate_clockwise
5616,rotate_clockwise
5633,rotate_clockwise
5650,rotate_clockwise
5666,rotate_clockwise
5683,rotate_clockwise
5700,rotate_clockwise
5716,rotate_clockwise
5733,rotate_clockwise
5750,rotate_clockwise
5766,rotate_clockwise
5783,rotate_clockwise
5800,rotate_clockwise
5816,rotate_clockwise
5833,rotate_clockwise
5850,rotate_clockwise
5866,rotate_clockwise
5883,rotate_clockwise
5900,rotate_clockwise
5916,rotate_clockwise
5933,rotate_clockwise
5950,rotate_clockwise
5966,rotate_clockwise
5983,rotate_clockwise
6000,rotate_clockwise
6016,rotate_clockwise
6033,rotate_clockwise
6050,rotate_clockwise
6066,rotate_clockwise
6083,rotate_clockwise
6100,rotate_clockwise
6116,rotate_clockwise
6133,rotate_clockwise
6150,rotate_clockwise
