time,ground_truth
0,idle
16,idle
33,idle
50,idle
66,idle
83,idle
100,idle
116,idle
133,idle
150,idle
166,idle
183,idle
200,idle
216,idle
233,idle
250,idle
266,idle
283,idle
300,idle
316,idle
333,idle
350,idle
366,idle
383,idle
400,idle
416,idle
433,idle
450,idle
466,idle
483,idle
500,idle
516,idle
533,idle
550,idle
566,idle
583,idle
600,idle
616,idle
633,idle
650,idle
666,idle
683,idle
700,idle
716,idle
733,idle
750,idle
766,idle
783,idle
800,idle
816,idle
833,idle
850,idle
866,idle
883,idle
900,idle
916,idle
933,idle
950,idle
966,idle
983,idle
1000,idle
1016,idle
1033,idle
1050,idle
1066,idle
1083,idle
1100,idle
1116,idle
1133,idle
1150,idle
1166,idle
1183,idle
1200,idle
1216,idle
1233,idle
1250,idle
1266,idle
1283,idle
1300,idle
1316,idle
1333,idle
1350,idle
1366,idle
1383,idle
1400,idle
1416,idle
1433,idle
1450,idle
1466,idle
1483,idle
1500,idle
1516,idle
1533,idle
1550,idle
1566,idle
1583,idle
1600,idle
1616,idle
1633,idle
1650,idle
1666,idle
1683,idle
1700,idle
1716,idle
1733,idle
1750,idle
1766,idle
1783,idle
1800,idle
1816,idle
1833,idle
1850,idle
1866,idle
1883,idle
1900,idle
1916,idle
1933,idle
1950,idle
1966,idle
1983,idle
2000,idle
2016,idle
2033,idle
2050,idle
2066,idle
2083,idle
2100,idle
2116,idle
2133,idle
2150,idle
2166,idle
2183,idle
2200,idle
2216,idle
2233,idle
2250,idle
2266,idle
2283,idle
2300,idle
2316,idle
2333,idle
2350,idle
2366,idle
2383,idle
2400,idle
2416,idle
2433,idle
2450,idle
2466,idle
2483,idle
2500,idle
2516,idle
2533,idle
2550,idle
2566,idle
2583,idle
2600,idle
2616,idle
2633,idle
2650,idle
2666,idle
2683,swipe_left
2700,swipe_left
2716,swipe_left
2733,swipe_left
2750,swipe_left
2766,swipe_left
2783,swipe_left
2800,swipe_left
2816,swipe_left
2833,swipe_left
2850,swipe_left
2866,swipe_left
2883,swipe_left
2900,swipe_left
2916,swipe_left
2933,swipe_left
2950,swipe_left
2966,swipe_left
2983,swipe_left
3000,swipe_left
3016,swipe_left
3033,swipe_left
3050,swipe_left
3066,swipe_left
3083,swipe_left
3100,swipe_left
3116,swipe_left
3133,swipe_left
3150,swipe_left
3166,swipe_left
3183,swipe_left
3200,swipe_left
3216,swipe_left
3233,swipe_left
3250,swipe_left
3266,swipe_left
3283,swipe_left
3300,swipe_left
3316,swipe_left
3333,swipe_left
3350,swipe_left
3366,swipe_left
3383,swipe_left
3400,swipe_left
3416,swipe_left
3433,swipe_left
3450,swipe_left
3466,swipe_left
3483,swipe_left
3500,swipe_left
3516,swipe_left
3533,swipe_left
3550,swipe_left
3566,idle
3583,idle
3600,idle
3616,idle
3633,idle
3650,idle
3666,idle
3683,idle
3700,idle
3716,idle
3733,idle
3750,idle
3766,idle
3783,idle
3800,idle
3816,idle
3833,idle
3850,idle
3866,idle
3883,idle
3900,idle
3916,idle
3933,idle
3950,idle
3966,idle
3983,idle
4000,idle
4016,idle
4033,idle
4050,idle
4066,idle
4083,idle
4100,idle
4116,idle
4133,idle
4150,idle
4166,idle
4183,idle
4200,idle
4216,idle
4233,idle
4250,idle
4266,idle
4283,idle
4300,idle
4316,idle
4333,idle
4350,idle
4366,idle
4383,idle
4400,idle
4416,idle
4433,idle
4450,idle
4466,idle
4483,idle
4500,idle
4516,idle
4533,idle
4550,idle
4566,idle
4583,idle
4600,idle
4616,idle
4633,idle
4650,idle
4666,idle
4683,idle
4700,idle
4716,idle
4733,idle
4750,idle
4766,idle
4783,idle
4800,idle
4816,idle
4833,idle
4850,idle
4866,idle
4883,idle
4900,idle
4916,idle
4933,idle
4950,idle
4966,idle
4983,idle
5000,idle
5016,idle
5033,idle
5050,idle
5066,idle
5083,idle
5100,idle
5116,idle
5133,idle
5150,idle
5166,idle
5183,idle
5200,idle
5216,idle
5233,idle
5250,idle
5266,idle
5283,idle
5300,idle
5316,idle
5333,idle
5350,idle
5366,idle
5383,idle
5400,idle
5416,idle
5433,idle
5450,idle
5466,idle
5483,idle
5500,idle
5516,idle
5533,idle
5550,idle
5566,idle
5583,idle
5600,idle
5616,idle
5633,idle
5650,idle
5666,idle
5683,idle
5700,idle
5716,idle
5733,idle
5750,idle
5766,idle
5783,idle
5800,idle
5816,idle
5833,idle
5850,idle
5866,idle
5883,idle
5900,idle
5916,idle
5933,idle
5950,idle
5966,idle
5983,idle
6000,idle
6016,idle
6033,idle
6050,idle
6066,idle
6083,idle
6100,idle
6116,idle
6133,idle
6150,idle
6166,idle
6183,idle
6200,idle
6216,idle
6233,idle
6250,idle
6266,idle
6283,idle
6300,idle
6316,idle
6333,idle
6350,idle
6366,idle
6383,idle
6400,idle
6416,idle
6433,idle
6450,idle
6466,idle
6483,idle
6500,idle
6516,idle
6533,idle
6550,idle
6566,idle
6583,idle
6600,idle
6616,swipe_left
6633,swipe_left
6650,swipe_left
6666,swipe_left
6683,swipe_left
6700,swipe_left
6716,swipe_left
6733,swipe_left
6750,swipe_left
6766,swipe_left
6783,swipe_left
6800,swipe_left
6816,swipe_left
6833,swipe_left
6850,swipe_left
6866,swipe_left
6883,swipe_left
6900,swipe_left
6916,swipe_left
6933,swipe_left
6950,swipe_left
6966,swipe_left
6983,swipe_left
7000,swipe_left
7016,swipe_left
7033,swipe_left
7050,swipe_left
7066,swipe_left
7083,swipe_left
7100,swipe_left
7116,swipe_left
7133,swipe_left
7150,swipe_left
7166,swipe_left
7183,swipe_left
7200,swipe_left
7216,swipe_left
7233,swipe_left
7250,swipe_left
7266,swipe_left
7283,swipe_left
7300,swipe_left
7316,swipe_left
7333,idle
7350,idle
7366,idle
7383,idle
7400,idle
7416,idle
7433,idle
7450,idle
7466,idle
7483,idle
7500,idle
