time,ground_truth
0,idle
16,idle
33,idle
50,idle
66,idle
83,idle
100,idle
116,idle
133,idle
150,idle
166,idle
183,idle
200,idle
216,idle
233,idle
250,idle
266,idle
283,idle
300,idle
316,idle
333,idle
350,idle
366,idle
383,idle
400,idle
416,idle
433,idle
450,idle
466,idle
483,idle
500,idle
516,idle
533,idle
550,idle
566,idle
583,idle
600,idle
616,idle
633,idle
650,idle
666,idle
683,idle
700,idle
716,idle
733,idle
750,idle
766,idle
783,idle
800,idle
816,idle
833,idle
850,idle
866,idle
883,idle
900,idle
916,idle
933,idle
950,idle
966,idle
983,idle
1000,idle
1016,idle
1033,idle
1050,idle
1066,idle
1083,idle
1100,idle
1116,idle
1133,idle
1150,idle
1166,idle
1183,idle
1200,idle
1216,idle
1233,idle
1250,idle
1266,idle
1283,idle
1300,idle
1316,idle
1333,idle
1350,idle
1366,idle
1383,idle
1400,swipe_right
1416,swipe_right
1433,swipe_right
1450,swipe_right
1466,swipe_right
1483,swipe_right
1500,swipe_right
1516,swipe_right
1533,swipe_right
1550,swipe_right
1566,swipe_right
1583,swipe_right
1600,swipe_right
1616,swipe_right
1633,swipe_right
1650,swipe_right
1666,swipe_right
1683,swipe_right
1700,swipe_right
1716,swipe_right
1733,swipe_right
1750,swipe_right
1766,swipe_right
1783,swipe_right
1800,swipe_right
1816,swipe_right
1833,swipe_right
1850,swipe_right
1866,swipe_right
1883,swipe_right
1900,swipe_right
1916,swipe_right
1933,swipe_right
1950,swipe_right
1966,swipe_right
1983,idle
2000,idle
2016,idle
2033,idle
2050,idle
2066,idle
2083,idle
2100,idle
2116,idle
2133,idle
2150,idle
2166,idle
2183,idle
2200,idle
2216,idle
2233,idle
2250,idle
2266,idle
2283,idle
2300,idle
2316,idle
2333,idle
2350,idle
2366,idle
2383,idle
2400,idle
2416,idle
2433,idle
2450,idle
2466,idle
2483,idle
2500,idle
2516,idle
2533,idle
2550,idle
2566,idle
2583,idle
2600,idle
2616,idle
2633,idle
2650,idle
2666,idle
2683,idle
2700,idle
2716,idle
2733,idle
2750,idle
2766,idle
2783,idle
2800,idle
2816,idle
2833,idle
2850,idle
2866,idle
2883,idle
2900,idle
2916,idle
2933,idle
2950,idle
2966,idle
2983,idle
3000,idle
3016,idle
3033,idle
3050,idle
3066,idle
3083,idle
3100,idle
3116,idle
3133,idle
3150,idle
3166,idle
3183,idle
3200,idle
3216,idle
3233,idle
3250,idle
3266,idle
3283,idle
3300,idle
3316,idle
3333,idle
3350,idle
3366,idle
3383,idle
3400,idle
3416,idle
3433,idle
3450,idle
3466,idle
3483,idle
3500,idle
3516,idle
3533,idle
3550,idle
3566,idle
3583,idle
3600,idle
3616,idle
3633,idle
3650,idle
3666,idle
3683,idle
3700,idle
3716,idle
3733,idle
3750,idle
3766,idle
3783,idle
3800,idle
3816,idle
3833,idle
3850,idle
3866,idle
3883,idle
3900,idle
3916,idle
3933,idle
3950,idle
3966,idle
3983,idle
4000,idle
4016,idle
4033,idle
4050,idle
4066,idle
4083,idle
4100,idle
4116,idle
4133,idle
4150,idle
4166,idle
4183,idle
4200,idle
4216,idle
4233,idle
4250,idle
4266,idle
4283,idle
4300,idle
4316,idle
4333,idle
4350,idle
4366,idle
4383,idle
4400,idle
4416,idle
4433,idle
4450,swipe_right
4466,swipe_right
4483,swipe_right
4500,swipe_right
4516,swipe_right
4533,swipe_right
4550,swipe_right
4566,swipe_right
4583,swipe_right
4600,swipe_right
4616,swipe_right
4633,swipe_right
4650,swipe_right
4666,swipe_right
4683,swipe_right
4700,swipe_right
4716,swipe_right
4733,swipe_right
4750,swipe_right
4766,swipe_right
4783,swipe_right
4800,swipe_right
4816,swipe_right
4833,swipe_right
4850,swipe_right
4866,swipe_right
4883,swipe_right
4900,swipe_right
4916,swipe_right
4933,swipe_right
4950,swipe_right
4966,swipe_right
4983,swipe_right
5000,swipe_right
5016,swipe_right
5033,swipe_right
5050,swipe_right
5066,swipe_right
5083,swipe_right
5100,swipe_right
5116,swipe_right
5133,swipe_right
5150,swipe_right
5166,swipe_right
5183,idle
5200,idle
5216,idle
5233,idle
5250,idle
5266,idle
5283,idle
5300,idle
5316,idle
5333,idle
5350,idle
5366,idle
5383,idle
5400,idle
5416,idle
5433,idle
5450,idle
5466,idle
5483,idle
5500,idle
5516,idle
5533,idle
5550,idle
5566,idle
5583,idle
5600,idle
5616,idle
5633,idle
5650,idle
5666,idle
5683,idle
5700,idle
5716,idle
5733,idle
5750,idle
5766,idle
5783,idle
5800,idle
5816,idle
5833,idle
5850,idle
5866,idle
5883,idle
5900,idle
5916,idle
5933,idle
5950,idle
5966,idle
5983,idle
6000,idle
6016,idle
6033,idle
6050,idle
6066,idle
6083,idle
6100,idle
6116,idle
6133,idle
6150,idle
6166,idle
6183,idle
6200,idle
6216,idle
6233,idle
6250,idle
6266,idle
6283,idle
6300,idle
6316,idle
6333,idle
6350,idle
6366,idle
6383,idle
6400,idle
6416,idle
6433,idle
6450,idle
6466,idle
6483,idle
6500,idle
6516,idle
6533,idle
6550,idle
6566,idle
6583,idle
6600,idle
6616,idle
6633,idle
6650,idle
6666,idle
6683,idle
6700,idle
6716,idle
6733,idle
6750,idle
6766,idle
6783,idle
6800,idle
6816,idle
6833,idle
6850,idle
6866,idle
6883,idle
6900,idle
6916,idle
6933,idle
6950,idle
6966,idle
6983,idle
7000,idle
7016,idle
7033,idle
7050,idle
7066,idle
7083,idle
7100,idle
7116,idle
7133,idle
7150,idle
7166,idle
7183,idle
7200,idle
7216,idle
7233,idle
7250,idle
7266,idle
7283,idle
7300,idle
7316,idle
7333,idle
7350,idle
7366,idle
7383,idle
7400,idle
7416,idle
7433,idle
7450,idle
7466,idle
7483,idle
7500,idle
7516,idle
7533,idle
7550,idle
7566,idle
7583,idle
7600,idle
7616,idle
7633,idle
