time,ground_truth
0,idle
8,idle
16,idle
25,idle
33,idle
41,idle
50,idle
58,idle
66,idle
75,idle
83,idle
91,idle
100,idle
108,idle
116,idle
125,idle
133,idle
141,idle
150,idle
158,idle
166,idle
175,idle
183,idle
191,idle
200,idle
208,idle
216,idle
225,idle
233,idle
241,idle
250,idle
258,idle
266,idle
275,idle
283,idle
291,idle
300,idle
308,idle
316,idle
325,idle
333,idle
341,idle
350,idle
358,idle
366,idle
375,idle
383,idle
391,idle
400,idle
408,idle
416,idle
425,idle
433,idle
441,idle
450,idle
458,idle
466,idle
475,idle
483,idle
491,idle
500,idle
508,idle
516,idle
525,idle
533,idle
541,idle
550,idle
558,idle
566,idle
575,idle
583,idle
591,idle
600,idle
608,idle
616,idle
625,idle
633,idle
641,idle
650,idle
658,idle
666,idle
675,idle
683,idle
691,idle
700,idle
708,idle
716,idle
725,idle
733,idle
741,idle
750,idle
758,idle
766,idle
775,idle
783,idle
791,idle
800,idle
808,idle
816,idle
825,idle
833,idle
841,idle
850,idle
858,idle
866,idle
875,idle
883,idle
891,idle
900,idle
908,idle
916,idle
925,idle
933,idle
941,idle
950,idle
958,idle
966,idle
975,idle
983,idle
991,idle
1000,idle
1008,idle
1016,idle
1025,idle
1033,idle
1041,idle
1050,idle
1058,idle
1066,idle
1075,idle
1083,idle
1091,idle
1100,idle
1108,idle
1116,idle
1125,idle
1133,idle
1141,idle
1150,idle
1158,idle
1166,idle
1175,idle
1183,idle
1191,idle
1200,idle
1208,idle
1216,idle
1225,idle
1233,idle
1241,idle
1250,idle
1258,idle
1266,idle
1275,idle
1283,idle
1291,idle
1300,idle
1308,idle
1316,idle
1325,idle
1333,idle
1341,idle
1350,idle
1358,idle
1366,idle
1375,idle
1383,idle
1391,idle
1400,idle
1408,idle
1416,idle
1425,idle
1433,idle
1441,idle
1450,idle
1458,idle
1466,idle
1475,idle
1483,idle
1491,idle
1500,idle
1508,idle
1516,idle
1525,idle
1533,idle
1541,idle
1550,idle
1558,idle
1566,idle
1575,idle
1583,idle
1591,idle
1600,idle
1608,idle
1616,idle
1625,idle
1633,idle
1641,idle
1650,idle
1658,idle
1666,idle
1675,idle
1683,idle
1691,idle
1700,idle
1708,idle
1716,idle
1725,idle
1733,idle
1741,idle
1750,idle
1758,idle
1766,idle
1775,idle
1783,idle
1791,idle
1800,idle
1808,idle
1816,idle
1825,idle
1833,rotate_clockwise
1841,rotate_clockwise
1850,rotate_clockwise
1858,rotate_clockwise
1866,rotate_clockwise
1875,rotate_clockwise
1883,rotate_clockwise
1891,rotate_clockwise
1900,rotate_clockwise
1908,rotate_clockwise
1916,rotate_clockwise
1925,rotate_clockwise
1933,rotate_clockwise
1941,rotate_clockwise
1950,rotate_clockwise
1958,rotate_clockwise
1966,rotate_clockwise
1975,rotate_clockwise
1983,rotate_clockwise
1991,rotate_clockwise
2000,rotate_clockwise
2008,rotate_clockwise
2016,rotate_clockwise
2025,rotate_clockwise
2033,rotate_clockwise
2041,rotate_clockwise
2050,rotate_clockwise
2058,rotate_clockwise
2066,rotate_clockwise
2075,rotate_clockwise
2083,rotate_clockwise
2091,rotate_clockwise
2100,rotate_clockwise
2108,rotate_clockwise
2116,rotate_clockwise
2125,rotate_clockwise
2133,rotate_clockwise
2141,rotate_clockwise
2150,rotate_clockwise
2158,rotate_clockwise
2166,rotate_clockwise
2175,rotate_clockwise
2183,rotate_clockwise
2191,rotate_clockwise
2200,rotate_clockwise
2208,rotate_clockwise
2216,rotate_clockwise
2225,rotate_clockwise
2233,rotate_clockwise
2241,rotate_clockwise
