time,ground_truth
0,idle
8,idle
16,idle
25,idle
33,idle
41,idle
50,idle
58,idle
66,idle
75,idle
83,idle
91,idle
100,idle
108,idle
116,idle
125,idle
133,idle
141,idle
150,idle
158,idle
166,idle
175,idle
183,idle
191,idle
200,idle
208,idle
216,idle
225,idle
233,idle
241,idle
250,idle
258,idle
266,idle
275,idle
283,idle
291,idle
300,idle
308,idle
316,idle
325,idle
333,idle
341,idle
350,idle
358,idle
366,idle
375,idle
383,idle
391,idle
400,idle
408,idle
416,idle
425,idle
433,idle
441,idle
450,idle
458,idle
466,idle
475,idle
483,idle
491,idle
500,idle
508,idle
516,idle
525,idle
533,idle
541,idle
550,idle
558,idle
566,idle
575,idle
583,idle
591,idle
600,idle
608,idle
616,idle
625,idle
633,idle
641,idle
650,idle
658,idle
666,idle
675,idle
683,idle
691,idle
700,idle
708,idle
716,idle
725,idle
733,idle
741,idle
750,idle
758,idle
766,idle
775,idle
783,idle
791,idle
800,idle
808,idle
816,idle
825,idle
833,idle
841,idle
850,idle
858,idle
866,idle
875,idle
883,idle
891,idle
900,idle
908,idle
916,idle
925,idle
933,idle
941,idle
950,idle
958,idle
966,idle
975,idle
983,idle
991,idle
1000,idle
1008,idle
1016,idle
1025,idle
1033,idle
1041,idle
1050,idle
1058,idle
1066,idle
1075,idle
1083,idle
1091,idle
1100,idle
1108,idle
1116,idle
1125,idle
1133,idle
1141,idle
1150,idle
1158,idle
1166,idle
1175,idle
1183,idle
1191,idle
1200,idle
1208,idle
1216,idle
1225,idle
1233,idle
1241,idle
1250,idle
1258,idle
1266,idle
1275,idle
1283,idle
1291,idle
1300,idle
1308,idle
1316,idle
1325,idle
1333,idle
1341,idle
1350,swipe_left
1358,swipe_left
1366,swipe_left
1375,swipe_left
1383,swipe_left
1391,swipe_left
1400,swipe_left
1408,swipe_left
1416,swipe_left
1425,swipe_left
1433,swipe_left
1441,swipe_left
1450,swipe_left
1458,swipe_left
1466,swipe_left
1475,swipe_left
1483,swipe_left
1491,swipe_left
1500,swipe_left
1508,swipe_left
1516,swipe_left
1525,swipe_left
1533,swipe_left
1541,swipe_left
1550,swipe_left
1558,swipe_left
1566,swipe_left
1575,swipe_left
1583,swipe_left
1591,swipe_left
1600,swipe_left
1608,swipe_left
1616,swipe_left
1625,swipe_left
1633,swipe_left
1641,swipe_left
1650,swipe_left
1658,swipe_left
1666,swipe_left
1675,swipe_left
1683,swipe_left
1691,swipe_left
1700,swipe_left
1708,swipe_left
1716,swipe_left
1725,swipe_left
1733,swipe_left
1741,swipe_left
1750,swipe_left
1758,swipe_left
1766,swipe_left
1775,swipe_left
1783,swipe_left
1791,swipe_left
1800,swipe_left
1808,swipe_left
1816,swipe_left
1825,swipe_left
1833,swipe_left
1841,swipe_left
1850,swipe_left
1858,swipe_left
1866,swipe_left
1875,swipe_left
1883,swipe_left
1891,swipe_left
1900,swipe_left
1908,swipe_left
1916,swipe_left
1925,swipe_left
1933,swipe_left
1941,swipe_left
1950,swipe_left
1958,swipe_left
1966,swipe_left
1975,swipe_left
1983,swipe_left
1991,swipe_left
2000,swipe_left
2008,swipe_left
2016,swipe_left
2025,swipe_left
2033,swipe_left
2041,swipe_left
2050,swipe_left
2058,swipe_left
2066,swipe_left
2075,swipe_left
2083,swipe_left
2091,swipe_left
2100,swipe_left
2108,swipe_left
2116,swipe_left
2125,swipe_left
2133,swipe_left
2141,swipe_left
2150,swipe_left
2158,swipe_left
2166,swipe_left
2175,swipe_left
2183,swipe_left
2191,swipe_left
2200,swipe_left
2208,idle
2216,idle
2225,idle
