time,ground_truth
0,idle
8,idle
16,idle
25,idle
33,idle
41,idle
50,idle
58,idle
66,idle
75,idle
83,idle
91,idle
100,idle
108,idle
116,idle
125,idle
133,idle
141,idle
150,idle
158,idle
166,idle
175,idle
183,idle
191,idle
200,idle
208,idle
216,idle
225,idle
233,idle
241,idle
250,idle
258,idle
266,idle
275,idle
283,idle
291,idle
300,idle
308,idle
316,idle
325,idle
333,idle
341,idle
350,idle
358,idle
366,idle
375,idle
383,idle
391,idle
400,idle
408,idle
416,idle
425,idle
433,idle
441,idle
450,idle
458,idle
466,idle
475,idle
483,idle
491,idle
500,idle
508,idle
516,idle
525,idle
533,idle
541,idle
550,idle
558,idle
566,idle
575,idle
583,idle
591,idle
600,idle
608,idle
616,idle
625,idle
633,idle
641,idle
650,idle
658,idle
666,idle
675,idle
683,idle
691,idle
700,idle
708,idle
716,idle
725,idle
733,idle
741,idle
750,idle
758,idle
766,idle
775,idle
783,idle
791,idle
800,idle
808,idle
816,idle
825,idle
833,idle
841,idle
850,idle
858,idle
866,idle
875,idle
883,idle
891,idle
900,idle
908,idle
916,idle
925,idle
933,swipe_right
941,swipe_right
950,swipe_right
958,swipe_right
966,swipe_right
975,swipe_right
983,swipe_right
991,swipe_right
1000,swipe_right
1008,swipe_right
1016,swipe_right
1025,swipe_right
1033,swipe_right
1041,swipe_right
1050,swipe_right
1058,swipe_right
1066,swipe_right
1075,swipe_right
1083,swipe_right
1091,swipe_right
1100,swipe_right
1108,swipe_right
1116,swipe_right
1125,swipe_right
1133,swipe_right
1141,swipe_right
1150,swipe_right
1158,swipe_right
1166,swipe_right
1175,swipe_right
1183,swipe_right
1191,swipe_right
1200,swipe_right
1208,swipe_right
1216,swipe_right
1225,swipe_right
1233,swipe_right
1241,swipe_right
1250,swipe_right
1258,swipe_right
1266,swipe_right
1275,swipe_right
1283,swipe_right
1291,swipe_right
1300,swipe_right
1308,swipe_right
1316,swipe_right
1325,swipe_right
1333,swipe_right
1341,swipe_right
1350,swipe_right
1358,swipe_right
1366,swipe_right
1375,swipe_right
1383,swipe_right
1391,swipe_right
1400,swipe_right
1408,swipe_right
1416,swipe_right
1425,swipe_right
1433,swipe_right
1441,swipe_right
1450,swipe_right
1458,swipe_right
1466,swipe_right
1475,swipe_right
1483,swipe_right
1491,swipe_right
1500,swipe_right
1508,swipe_right
1516,swipe_right
1525,swipe_right
1533,swipe_right
1541,swipe_right
1550,swipe_right
1558,swipe_right
1566,swipe_right
1575,swipe_right
1583,swipe_right
1591,swipe_right
1600,swipe_right
1608,swipe_right
1616,swipe_right
1625,swipe_right
1633,swipe_right
1641,swipe_right
1650,swipe_right
1658,swipe_right
1666,swipe_right
1675,swipe_right
1683,swipe_right
1691,swipe_right
1700,swipe_right
1708,swipe_right
1716,swipe_right
1725,swipe_right
1733,swipe_right
1741,swipe_right
1750,swipe_right
1758,swipe_right
1766,swipe_right
1775,swipe_right
1783,swipe_right
1791,swipe_right
1800,swipe_right
1808,swipe_right
1816,swipe_right
1825,swipe_right
1833,swipe_right
1841,swipe_right
1850,swipe_right
1858,swipe_right
1866,swipe_right
1875,swipe_right
1883,swipe_right
1891,swipe_right
1900,swipe_right
1908,swipe_right
1916,swipe_right
1925,swipe_right
1933,swipe_right
1941,swipe_right
1950,swipe_right
1958,swipe_right
1966,swipe_right
1975,swipe_right
1983,idle
1991,idle
2000,idle
2008,idle
2016,idle
2025,idle
2033,idle
2041,idle
2050,idle
2058,idle
2066,idle
2075,idle
2083,idle
2091,idle
2100,idle
2108,idle
2116,idle
2125,idle
2133,idle
