time,ground_truth
0,idle
40,idle
80,idle
120,idle
160,idle
200,idle
240,idle
280,idle
320,idle
360,idle
400,idle
440,idle
480,idle
520,idle
560,idle
600,idle
640,idle
680,idle
720,idle
760,idle
800,rotate
840,rotate
880,rotate
920,rotate
960,rotate
1000,rotate
1040,rotate
1080,rotate
1120,rotate
1160,rotate
1200,rotate
1240,rotate
1280,rotate
1320,rotate
1360,rotate
1400,rotate
1440,rotate
1480,rotate
1520,rotate
1560,rotate
1600,rotate
1640,rotate
1680,rotate
1720,rotate
1760,rotate
1800,rotate
1840,rotate
1880,rotate
1920,rotate
1960,rotate
2000,rotate
2040,rotate
2080,rotate
2120,idle
2160,idle
2200,idle
2240,idle
2280,idle
2320,idle
2360,idle
2400,idle
2440,idle
2480,idle
2520,idle
2560,idle
2600,idle
2640,idle
2680,idle
2720,idle
2760,idle
2800,idle
2840,idle
2880,idle
2920,idle
2960,idle
3000,idle
3040,idle
3080,idle
3120,idle
3160,idle
3200,idle
3240,idle
3280,idle
3320,idle
3360,idle
3400,idle
3440,idle
3480,idle
3520,idle
3560,idle
3600,idle
3640,idle
3680,idle
3720,idle
3760,idle
3800,idle
3840,idle
3880,idle
3920,idle
3960,idle
4000,idle
4040,idle
4080,idle
4120,idle
4160,idle
4200,idle
4240,idle
4280,idle
4320,idle
4360,idle
4400,idle
4440,idle
4480,idle
4520,idle
4560,idle
4600,idle
4640,idle
4680,idle
4720,idle
4760,idle
4800,idle
4840,idle
4880,idle
4920,idle
4960,idle
5000,idle
5040,idle
5080,idle
5120,rotate
5160,rotate
5200,rotate
5240,rotate
5280,rotate
5320,rotate
5360,rotate
5400,rotate
5440,rotate
5480,rotate
5520,rotate
5560,rotate
5600,rotate
5640,rotate
5680,rotate
5720,rotate
5760,rotate
5800,rotate
5840,rotate
5880,rotate
5920,rotate
5960,rotate
6000,rotate
6040,rotate
6080,rotate
6120,rotate
6160,rotate
6200,rotate
6240,rotate
6280,rotate
6320,rotate
6360,rotate
6400,rotate
6440,rotate
6480,idle
6520,idle
6560,idle
6600,idle
6640,idle
6680,idle
6720,idle
6760,idle
6800,idle
6840,idle
6880,idle
6920,idle
6960,idle
7000,idle
7040,idle
7080,idle
7120,idle
7160,idle
7200,idle
7240,idle
7280,idle
7320,idle
7360,idle
7400,idle
7440,idle
7480,idle
7520,idle
7560,idle
7600,idle
7640,idle
7680,idle
7720,idle
7760,idle
7800,idle
7840,idle
7880,idle
7920,idle
7960,idle
8000,idle
8040,idle
8080,idle
8120,idle
8160,idle
8200,idle
8240,idle
8280,idle
8320,idle
8360,idle
8400,idle
8440,idle
8480,idle
8520,idle
8560,idle
8600,idle
8640,idle
8680,idle
8720,idle
8760,idle
8800,idle
8840,idle
8880,idle
8920,idle
8960,idle
9000,idle
9040,idle
9080,idle
9120,idle
9160,idle
9200,idle
9240,idle
9280,idle
9320,idle
9360,idle
9400,idle
9440,idle
9480,idle
9520,rotate
9560,rotate
9600,rotate
9640,rotate
9680,rotate
9720,rotate
9760,rotate
9800,rotate
9840,rotate
9880,rotate
9920,rotate
9960,rotate
10000,rotate
10040,rotate
10080,rotate
10120,rotate
10160,rotate
10200,rotate
10240,rotate
10280,rotate
10320,rotate
10360,rotate
10400,rotate
10440,rotate
10480,rotate
10520,rotate
10560,rotate
10600,rotate
10640,rotate
10680,rotate
10720,rotate
10760,rotate
10800,rotate
10840,rotate
10880,rotate
10920,rotate
10960,rotate
11000,rotate
11040,idle
11080,idle
11120,idle
11160,idle
11200,idle
11240,idle
11280,idle
11320,idle
11360,idle
11400,idle
11440,idle
11480,idle
11520,idle
11560,idle
11600,idle
11640,idle
11680,idle
11720,idle
11760,idle
11800,idle
11840,idle
11880,idle
11920,idle
11960,idle
12000,idle
12040,idle
12080,idle
12120,idle
12160,idle
12200,idle
12240,idle
12280,idle
12320,idle
12360,idle
12400,idle
12440,idle
12480,idle
12520,idle
12560,idle
12600,idle
12640,idle
12680,idle
12720,idle
12760,idle
12800,idle
12840,idle
12880,idle
12920,idle
12960,idle
13000,idle
13040,idle
13080,idle
13120,idle
13160,idle
13200,idle
13240,idle
13280,idle
13320,idle
13360,idle
13400,idle
13440,idle
13480,idle
13520,idle
13560,idle
13600,idle
13640,idle
13680,idle
13720,rotate
13760,rotate
13800,rotate
13840,rotate
13880,rotate
13920,rotate
13960,rotate
14000,rotate
14040,rotate
14080,rotate
14120,rotate
14160,rotate
14200,rotate
14240,rotate
14280,rotate
14320,rotate
14360,rotate
14400,rotate
14440,rotate
14480,rotate
14520,rotate
14560,rotate
14600,rotate
14640,rotate
14680,rotate
14720,rotate
14760,rotate
14800,rotate
14840,rotate
14880,rotate
14920,rotate
14960,idle
15000,idle
15040,idle
15080,idle
15120,idle
15160,idle
15200,idle
15240,idle
15280,idle
15320,idle
15360,idle
15400,idle
15440,idle
15480,idle
15520,idle
15560,idle
15600,idle
15640,idle
15680,idle
15720,idle
15760,idle
15800,idle
15840,idle
15880,idle
15920,idle
15960,idle
16000,idle
16040,idle
16080,idle
16120,idle
16160,idle
16200,idle
16240,idle
16280,idle
16320,idle
16360,idle
16400,idle
16440,idle
16480,idle
16520,idle
16560,idle
16600,idle
16640,idle
16680,idle
16720,idle
16760,idle
16800,idle
16840,idle
16880,rotate
16920,rotate
16960,rotate
17000,rotate
17040,rotate
17080,rotate
17120,rotate
17160,rotate
17200,rotate
17240,rotate
17280,rotate
